trial,structurally_viable,fill_first_avg_student_ranking,fill_first_std_student_ranking,fill_first_median_student_ranking,fill_first_iqr_student_ranking,fill_first_student_satisfaction_percent,fill_first_student_satisfaction_top4_percent,fill_first_student_satisfaction_top5_percent,fill_first_students_got_choice_1_count,fill_first_students_got_choice_1_percent,fill_first_students_got_choice_2_count,fill_first_students_got_choice_2_percent,fill_first_students_got_choice_3_count,fill_first_students_got_choice_3_percent,fill_first_students_got_choice_4_count,fill_first_students_got_choice_4_percent,fill_first_students_got_choice_5_count,fill_first_students_got_choice_5_percent,fill_first_students_got_choice_6_count,fill_first_students_got_choice_6_percent
27,True,3.0714285714285716,1.5795245991068558,3.0,2.0,57.14285714285714,78.57142857142857,92.85714285714286,3,21.428571428571427,3,21.428571428571427,2,14.285714285714285,3,21.428571428571427,2,14.285714285714285,1,7.142857142857142
28,True,3.357142857142857,1.287696884094282,3.5,1.0,50.0,78.57142857142857,100.0,2,14.285714285714285,1,7.142857142857142,4,28.57142857142857,4,28.57142857142857,3,21.428571428571427,0,0.0
29,True,2.857142857142857,1.355261854357877,3.0,2.0,64.28571428571429,85.71428571428571,100.0,3,21.428571428571427,3,21.428571428571427,3,21.428571428571427,3,21.428571428571427,2,14.285714285714285,0,0.0
30,True,3.0714285714285716,1.1627728997214077,3.0,2.0,64.28571428571429,85.71428571428571,100.0,1,7.142857142857142,4,28.57142857142857,4,28.57142857142857,3,21.428571428571427,2,14.285714285714285,0,0.0
31,True,2.642857142857143,1.3420210162897097,2.5,1.0,78.57142857142857,92.85714285714286,92.85714285714286,3,21.428571428571427,4,28.57142857142857,4,28.57142857142857,2,14.285714285714285,0,0.0,1,7.142857142857142
32,True,3.857142857142857,1.2453996981544782,4.0,2.0,42.857142857142854,64.28571428571429,92.85714285714286,1,7.142857142857142,0,0.0,5,35.714285714285715,3,21.428571428571427,4,28.57142857142857,1,7.142857142857142
33,True,4.071428571428571,1.6241167144145818,5.0,1.75,28.57142857142857,42.857142857142854,85.71428571428571,2,14.285714285714285,1,7.142857142857142,1,7.142857142857142,2,14.285714285714285,6,42.857142857142854,2,14.285714285714285
34,True,3.0,1.4142135623730951,3.5,2.0,50.0,85.71428571428571,100.0,3,21.428571428571427,3,21.428571428571427,1,7.142857142857142,5,35.714285714285715,2,14.285714285714285,0,0.0
35,True,3.642857142857143,0.9715336077668174,3.5,1.0,50.0,85.71428571428571,92.85714285714286,0,0.0,1,7.142857142857142,6,42.857142857142854,5,35.714285714285715,1,7.142857142857142,1,7.142857142857142
36,True,2.7857142857142856,1.697837760572102,2.0,3.75,57.14285714285714,71.42857142857143,100.0,5,35.714285714285715,3,21.428571428571427,0,0.0,2,14.285714285714285,4,28.57142857142857,0,0.0
